work type,"title/_pref=""preferred""","title/_pref=""alternate""",title/_lang,creator,"measurements/_unit=""cm""",materials technique,style,creation date,"location/_type=""creation Location""","location/_type=""currentRepository""",classification,related work/_part of,related work/_larger context for,link related resource,rights_Resource,record source
painting,"""24 FEV.1969""",,Portuguese,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1969-02-25,Brasília,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (24 FEV.1969),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""1 MAR.1969""",Eu estou em Manaus.,Portuguese,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1969-03-01,Manaus,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (1 MAR.1969),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""9 MAR.69""",,Spanish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1969-03-09,Caracas,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (9 MAR.69),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""12 MAR.69""",El número de espanoles que se estima que han salido de Guinea ecuatorial en los últimos días sobrepasó hoy los 2.000 con la llegada de 218 refugiados a bordo de un avión DC-8 de Iberia al Aeropuerto de Barajas de Madrid.,Spanish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1969-03-12,Panamá,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (12 MAR.69),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""AUG.25,1970""",,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1970-08-25,Buffalo,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (AUG.25,1970)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""AUG.27,1970""","Three carloads of gunmen assassinated Jose Alonso, one of Argentina's most influential Peronist labor leaders, as he droe to his office today.",English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1970-08-27,Toronto,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (AUG.27,1970)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""SEP.2,1970""","Quebec's Premier Bourassa today challenged the Federal Government's jurisdiction over cable television in Quebec. 'Cable television is clearly a matter of provincial jurisdiction,' Mr. Bourassa said.",English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1970-09-02,Montréal,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (SEP.2,1970)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""30.DEC.1970""",,Esperanto,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1970-10-30,Tōkyō,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (30.DEC.1970),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""29 DEC.1972""",,Swedish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1972-12-29,Stockholm,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (29 DEC.1972),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""18 FEB.1973""",Dimanco.,Spanish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1973-02-18,Casablanca,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (18 FEB.1973),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""24 FEB.73""",Sábado.,Spanish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1973-02-24,Las Palmas de Gran Canaria,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (24 FEB.73),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""MAR.14,1973""",Wednesday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1973-03-14,Freetown,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (MAR.14,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""JUNE 5,1973""",,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1973-06-05,Halifax,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (JUNE 5,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""AUG.22,1973""",Wednesday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1973-08-22,Saint John,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (AUG.22,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""AUG.24,1973""",Wednesday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1973-08-24,New Portland,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (AUG.24,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""AUG.27,1973""",,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1973-08-27,Boston,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (AUG.27,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""OCT.10,1973""",Wednesday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1973-10-10,Pittsburgh,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (OCT.10,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""OCT.12,1973""",,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1973-10-12,Columbus,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (OCT.12,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""OCT.15,1973""",Monday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1973-10-15,Indianapolis,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (OCT.15,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""OCT.18,1973""",,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1973-10-18,Saint Louis City,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (OCT.18,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""OCT.21,1973""",Sunday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1973-10-21,Topeka,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (OCT.21,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""OCT.27,1973""",,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1973-10-27,Denver,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (OCT.27,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""OCT.31,1973""",Wednesday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1973-10-31,Santa Fe,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (OCT.31,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""NOV.2,1973""",Friday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1973-11-02,Flagstaff,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (NOV.2,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""NOV.6,1973""",,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1973-11-06,Las Vegas,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (NOV.6,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""NOV.15,1973""",Thursday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1973-11-15,Los Angeles,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (NOV.15,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""NOV.22,1973""",Thursday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1973-11-22,San Francisco,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (NOV.22,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""NOV.25,1973""",Sunday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1973-11-25,Sacramento,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (NOV.25,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""DEC.10,1973""",,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1973-12-10,San Diego,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (DEC.10,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""DEC.30,1973""",Sunday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1973-12-30,Atlanta,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (DEC.30,1973)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""MAR.13,1974""",Wednesday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1974-03-13,Philadelphia,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (MAR.13,1974)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""MAR.16,1974""",,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1974-03-16,Richmond,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (MAR.16,1974)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""MAR.20,1974""",Wednesday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1974-03-20,Jacksonville,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (MAR.20,1974)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""MAR.26,1974""",,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1974-03-26,Miami Beach,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (MAR.26,1974)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""MAR.31,1974""",Sunday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1974-03-31,Columbia,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (MAR.31,1974)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""APR.4,1974""",,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1974-04-04,District of Columbia,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (APR.4,1974)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""13.OKT.1974""",,German,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1974-10-13,Bern,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (13.OKT.1974),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""DEC.27,1974""",Sunday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1974-12-27,New Orleans,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (DEC.27,1974)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""DEC.30,1974""",Monday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1974-12-30,Houston,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (DEC.30,1974)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""JAN.4,1975""",Saturday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1975-01-04,Oklahoma City,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (JAN.4,1975)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""JAN.8,1975""",,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1975-01-08,Dallas,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (JAN.8,1975)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""JAN.10,1975""",Friday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1975-01-10,Jackson,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (JAN.10,1975)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""SEPT.10,1975""",Wednesday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1975-09-10,Cleveland,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (SEP.10,1975)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""SEPT.13,1975""",Saturday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1975-09-13,Detroit,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (SEP.13,1975)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""SEPT.21,1975""",Sunday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1975-09-21,Minneapolis,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (SEP.21,1975)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""SEPT.23,1975""",Tuesday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1975-09-23,Milwaukee,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (SEP.23,1975)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""SEPT.25,1975""",Thursday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1975-09-25,Chicago,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (SEP.25,1975)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""24.MÄRZ1976""",,German,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1976-03-24,Berlin,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (24.MÄRZ.1976),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""DEC.24,1978""",Sunday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1978-12-24,Hong Kong,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (DEC.24,1978)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""JAN.16,1979""",Tuesday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1979-01-16,Chicago,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (JAN.16,1979)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""12.SEPT.1979""",,German,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1979-09-12,München,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (12.SEPT.1979),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""AUG.1,1981""",Thursday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1981-08-01,North East Margaree,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",,,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
